Database,Schema,Table,Column,Data_Type,CONVERT,Size,Precision_Scale,is_nullable,Description,Trigger,MASK,USE?
Envio,Loyalty,accounting_journal,id,bigint,,8,19/0,FALSE,,,,
Envio,Loyalty,accounting_journal,initial_last_quarter_bill_pay,int,,4,10/0,TRUE,,,,
Envio,Loyalty,accounting_journal,initial_last_quarter_remittances,int,,4,10/0,TRUE,,,,
Envio,Loyalty,accounting_journal,initial_last_quarter_top_ups,int,,4,10/0,TRUE,,,,
Envio,Loyalty,accounting_journal,pay_method,nvarchar,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,pay_method,sysname,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,payer,nvarchar,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,payer,sysname,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,points_to_spend,int,,4,10/0,TRUE,,,,
Envio,Loyalty,accounting_journal,product_id,nvarchar,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,product_id,sysname,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,product_type,nvarchar,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,product_type,sysname,,512,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,rule_id,int,,4,10/0,TRUE,,,,
Envio,Loyalty,accounting_journal,search_field,nvarchar,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,search_field,sysname,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,spend_customer_transaction_id,nvarchar,,128,0/0,TRUE,,,,
Envio,Loyalty,accounting_journal,spend_customer_transaction_id,sysname,,128,0/0,TRUE,,,,
Envio,Loyalty,accounting_journal,status_points,int,,4,10/0,TRUE,,,,
Envio,Loyalty,accounting_journal,status_points_only,bit,,1,1/0,FALSE,,,,
Envio,Loyalty,accounting_journal,submit_transaction_id,nvarchar,,128,0/0,TRUE,,,,
Envio,Loyalty,accounting_journal,submit_transaction_id,sysname,,128,0/0,TRUE,,,,
Envio,Loyalty,accounting_journal,teller_id,nvarchar,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,teller_id,sysname,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_journal,type,int,,4,10/0,FALSE,,,,
Envio,Loyalty,accounting_submittransaction,creation_date,datetime2,,8,27/7,FALSE,,,,
Envio,Loyalty,accounting_submittransaction,id,nvarchar,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_submittransaction,id,sysname,,128,0/0,FALSE,,,,
Envio,Loyalty,accounting_submittransaction,is_cancelled,bit,,1,1/0,FALSE,,,,
Envio,Loyalty,accounting_submittransaction,modification_date,datetime2,,8,27/7,FALSE,,,,
Envio,dba,AGENT,AD_USER,varchar,,100,0/0,FALSE,Active directory user name,,,
Envio,dba,AGENT,ADD_AGENT,varchar,,60,0/0,TRUE,Agent Address,,,
Envio,dba,AGENT,BEEPER_AGENT,varchar,,12,0/0,TRUE,Agent Beeper Number,,,
Envio,dba,AGENT,CEL_PHONE_AGENT,varchar,,12,0/0,TRUE,Agent Cell Phone Number,,,
Envio,dba,AGENT,COLLECTOR_ID,char,,10,0/0,TRUE,Assigned collertors active directory name,,,
Envio,dba,AGENT,DATE_BEGIN_AGENT,datetime,,8,23/3,TRUE,Date when the agent started working with Viamericas,,,
Envio,dba,AGENT,EMAIL_AGENT,varchar,,200,0/0,TRUE,Agent Email Address,,,
Envio,dba,AGENT,EMAIL_MOBILE_AGENT,varchar,,100,0/0,TRUE,Agent email on Mobile,,,
Envio,dba,AGENT,ID_AGENT,varchar,,10,0/0,FALSE,Agent Id consecutive number,,,
Envio,dba,AGENT,ID_AGENT_POSITION,varchar,,10,0/0,TRUE,Sales Representative company position,,,
Envio,dba,AGENT,ID_COMPANY,varchar,,6,0/0,TRUE,Viamericas' company id for the agent,,,
Envio,dba,AGENT,ID_MANAGER,nvarchar,,20,0/0,TRUE,Sales Representative managers ID,,,
Envio,dba,AGENT,ID_MANAGER,sysname,,20,0/0,TRUE,Sales Representative managers ID,,,
Envio,dba,AGENT,INDEPENDENT_SALES_REP,varchar,,1,0/0,TRUE,"Is an Independent Sales Representative : Y - Yes, N - No",,,
Envio,dba,AGENT,MANAGER,nvarchar,,2,0/0,TRUE,"Is the sales representative a Manager : Y - Yes, N - No",,,
Envio,dba,AGENT,MANAGER,sysname,,2,0/0,TRUE,"Is the sales representative a Manager : Y - Yes, N - No",,,
Envio,dba,AGENT,NAME_AGENT,varchar,,40,0/0,FALSE,Agent full name,,,
Envio,dba,AGENT,PHONE_AGENT,varchar,,12,0/0,TRUE,Agent Phone Number,,,
Envio,dba,AGENT,SALES_REP_FNAME,varchar,,50,0/0,TRUE,Sales Representative First Name,,,
Envio,dba,AGENT,SALES_REP_LNAME,varchar,,50,0/0,TRUE,Sales Representative Last Name,,,
Envio,dba,AGENT,SALES_REP_MNAME,varchar,,50,0/0,TRUE,Sales Representative Middle Name,,,
Envio,dba,AGENT,SALES_REP_SLNAME,varchar,,50,0/0,TRUE,Sales Representative Second Last Name,,,
Envio,dba,AGENT,SP_RID,varchar,,50,0/0,TRUE,,,,
Envio,dba,AGENT,SPECIALIST,varchar,,60,0/0,TRUE,Is the Sales Representative an Specialist?,,,
Envio,dba,AGENT,STATUS_AGENT,char,N,1,0/0,TRUE,"Agent status : A - Active, I - Inactive",,,
Envio,dba,AGENT,SYNC_ASSETS,smallint,,2,5/0,TRUE,"Sync assets : 1 - Yes, 0 - No",,,
Envio,dba,AGENT_POSITION,HIERARCHY,int,,4,10/0,FALSE,Hierarchy level,,,
Envio,dba,AGENT_POSITION,ID_AGENT_POSITION,varchar,,10,0/0,FALSE,Position ID,,,
Envio,dba,AGENT_POSITION,NAME_POSITION,varchar,,40,0/0,FALSE,Position name,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,DATE_PROCESS,datetime,,8,23/3,FALSE,date of the last process,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,DATE_UPGRADE,datetime,,8,23/3,TRUE,,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID,int,,4,10/0,FALSE,Autoincremental in table for record,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_BRANCH,char,Y,10,0/0,FALSE,Agency configured for rate,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_COUNTRY,char,Y,5,0/0,FALSE,Id country source configuration,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_COUNTRY_RATE,char,Y,5,0/0,FALSE,Id country detination of rate configuration,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_CURRENCY_SOURCE,varchar,,2,0/0,FALSE,Id country detination of rate configuration,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_CURRENY,char,Y,2,0/0,FALSE,id currency detination configuration,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_MAIN_BRANCH,char,Y,4,0/0,FALSE,id payer market,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_MODO_PAGO,char,Y,2,0/0,FALSE,id mode pay in destination,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_RATE_TYPE,int,,4,10/0,TRUE,id rate type and level of rate,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,ID_STATE,char,Y,5,0/0,FALSE,id state of the agency,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,LIMIT_INF_RATE,numeric,,9,38/38,FALSE,,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,LIMIT_SEND_RATE,numeric,,9,38/38,FALSE,Limit amount send,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,LIMIT_SUP_RATE,numeric,,9,38/38,FALSE,Limit superior configurated,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,PROCESS,char,,10,0/0,FALSE,type of process that performed the action,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,RATE,numeric,,9,38/38,FALSE,"value rate configuration sum(temp, level, cost, base)",,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,TEMP_RATE_MOD,numeric,,9,38/38,TRUE,value of temp por cost,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,TEMP_RATE_VALID_THRU,datetime,,8,23/3,TRUE,Date limit clear value temp,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,USER_MODIFY,varchar,,50,0/0,TRUE,user that realized action,,,
Envio,dba,BANCO,ACH_BANCO,char,,1,0/0,TRUE,"Is an ACH Bank? : Y - Yes, N - No",,,
Envio,dba,BANCO,ACH_MAIL_NOT,varchar,,100,0/0,TRUE,,,,
Envio,dba,BANCO,ADDRESS_BANCO,char,Y,50,0/0,TRUE,Bank name as it want to be displayed,,,
Envio,dba,BANCO,CASH_HANDLING_FEES,numeric,,9,38/38,TRUE,Fee for counting cash deposits,,,
Envio,dba,BANCO,CASH_VAULT_FEES,numeric,,9,38/38,TRUE,Fee for cash vault,,,
Envio,dba,BANCO,CHECKBOOKID,char,,30,0/0,TRUE,,,,
Envio,dba,BANCO,COST_TRX_ACH,numeric,,9,38/38,TRUE,Cost per ACH deposits,,,
Envio,dba,BANCO,COST_TRX_ATM,numeric,,9,38/38,TRUE,Cost per ATM deposits,,,
Envio,dba,BANCO,COST_TRX_CARROARMADO,numeric,,9,38/38,TRUE,Cost per armored car deposits,,,
Envio,dba,BANCO,COST_TRX_DEPOSIT,numeric,,9,38/38,TRUE,Cost per deposit,,,
Envio,dba,BANCO,COST_TRX_PICKUP,numeric,,9,38/38,TRUE,Cost per armored car pickup,,,
Envio,dba,BANCO,COST_TRX_QBD,numeric,,9,38/38,TRUE,Cost per QBD deposits,,,
Envio,dba,BANCO,COST_TRX_VAULT,numeric,,9,38/38,TRUE,Cost per vault deposits,,,
Envio,dba,BANCO,COST_TRX_VIACHECK,numeric,,9,38/38,TRUE,Cost per ViaCheck deposits,,,
Envio,dba,BANCO,COST_X_100_ACH,numeric,,9,38/38,TRUE,Cost per every 100 on ACH deposit,,,
Envio,dba,BANCO,COST_X_100_ATM,numeric,,9,38/38,TRUE,Cost per every 100 on ATM deposit,,,
Envio,dba,BANCO,COST_X_100_CARROARMADO,numeric,,9,38/38,TRUE,Cost per every 100 on armored car deposit,,,
Envio,dba,BANCO,COST_X_100_DEPOSIT,numeric,,9,38/38,TRUE,Cost per every 100 on deposit,,,
Envio,dba,BANCO,COST_X_100_QBD,numeric,,9,38/38,TRUE,Cost per every 100 on QBD deposit,,,
Envio,dba,BANCO,COST_X_100_VAULT,numeric,,9,38/38,TRUE,Cost per every 100 on Vault deposit,,,
Envio,dba,BANCO,CURRENT_ACH_LOG,int,,4,10/0,TRUE,,,,
Envio,dba,BANCO,DEP_BANCO,char,,1,0/0,TRUE,"Are deposits accepted? : Y - Yes, N - No",,,
Envio,dba,BANCO,FEE_PER_MONTH,numeric,,9,38/38,TRUE,Fee per month,,,
Envio,dba,BANCO,FLAG_BANCO,char,N,1,0/0,TRUE,"Bank status : 1 - Yes, 0 - No",,,
Envio,dba,BANCO,ID_BANCO,char,Y,20,0/0,FALSE,Bank Id,,,
Envio,dba,BANCO,IS_ACH_MAIL_NOT,bit,,1,1/0,TRUE,,,,
Envio,dba,BANCO,NAME_BANCO,char,Y,50,0/0,FALSE,Long bank name with comapanies included,,,
Envio,dba,BANCO,SHORTNAME_BANCO,varchar,,8,0/0,TRUE,Bank name contacted,,,
Envio,dba,BANCO,TREASURY_DB_NAME,varchar,,30,0/0,TRUE,DB name for treasury process,,,
Envio,dba,BANCO,USES_TREASURY,bit,,1,1/0,TRUE,,,,
Envio,dba,BANCO,YEARMONTH,char,N,6,0/0,TRUE,date last change on YYYYMM date format,,,
Envio,crm,BANK_COST,COST_BANK_X_WIRES_CASH,numeric,,9,38/38,FALSE,,,,
Envio,crm,BANK_COST,DATE_PROCESS,datetime,,8,23/3,FALSE,,,,
Envio,crm,BANK_COST,ID_MAIN_BRANCH,char,N,4,0/0,FALSE,Foreign key to dba.group_branch table,,,
ViaChecks,dbo,batchTable,agentID,int,,4,10/0,FALSE,,,,
ViaChecks,dbo,batchTable,batchID,int,,4,10/0,FALSE,primary key,,,
ViaChecks,dbo,batchTable,created,datetime,,8,23/3,FALSE,,,,
ViaChecks,dbo,batchTable,locationID,int,,4,10/0,FALSE,,,,
ViaChecks,dbo,batchTable,SNVIACHECKPLUS,bit,,1,1/0,FALSE,,,,
Envio,dba,BRANCH,ADDRESS_BRANCH,varchar,,60,0/0,FALSE,Branch location address,,,
Envio,dba,BRANCH,ADDRESS2_BRANCH,varchar,,250,0/0,TRUE,Branch alternative address,,,
Envio,dba,BRANCH,ALT_FAX_ROUTE,char,,1,0/0,TRUE,,,,Old/Not Used/Needed
Envio,dba,BRANCH,ALTERNATIVE_ID_BRANCH,char,,10,0/0,TRUE,,,,Old/Not Used/Needed
Envio,dba,BRANCH,BUSINESS_HOURS,varchar,,200,0/0,TRUE,Tex describing business hour for the agency,,,
Envio,dba,BRANCH,CURRENCY_PAY_BRANCH,char,,1,0/0,FALSE,Currency used to pay transactions at branch,,,
Envio,dba,BRANCH,DATE_CLOSE,datetime,,8,23/3,TRUE,Date when the branch was closed,,,
Envio,dba,BRANCH,DATE_CRE_BRANCH,datetime,,8,23/3,TRUE,Creation date,,,
Envio,dba,BRANCH,DATE_INSERTED,datetime,,8,23/3,TRUE,date when the row was inserted,,,
Envio,dba,BRANCH,DATE_OPEN,datetime,,8,23/3,TRUE,Date when the branch was opened,,,
Envio,dba,BRANCH,FAX_BRANCH,varchar,,15,0/0,TRUE,Branch Fax,,,
Envio,dba,BRANCH,FORMA_PAGO_BRANCH,char,,2,0/0,TRUE,Way configured for the agency to deposit to Viamericas,,,
Envio,dba,BRANCH,GEO_GOOGLE,smallint,,2,5/0,TRUE,,,,
Envio,dba,BRANCH,GEO_PRECISION,char,N,1,0/0,TRUE,,,,
Envio,dba,BRANCH,ID_BRANCH,char,Y,10,0/0,FALSE,Branch ID,,,
Envio,dba,BRANCH,ID_CHAIN,varchar,,9,0/0,TRUE,"Chain ID, there can be many agencies with the same CHAIN_ID when te same owners owns many agencies",,,
Envio,dba,BRANCH,ID_CITY,char,Y,5,0/0,FALSE,Branch location address id city,,,
Envio,dba,BRANCH,ID_COMPANY,char,Y,6,0/0,FALSE,Viamericas company ID company used to bill,,,
Envio,dba,BRANCH,ID_COUNTRY,char,Y,5,0/0,FALSE,"Branch location address id country, foregin key to dba.country",,,
Envio,dba,BRANCH,ID_CURRENCY_SOURCE,varchar,,2,0/0,TRUE,"Currency of the branch; Refers to CURRENCY table (ex. D: Dollar, CL: Pesos...)",,,
Envio,dba,BRANCH,id_flag_branch,char,N,1,0/0,FALSE,"A = Active, I = Inactive",,,
Envio,dba,BRANCH,ID_FLAG_BRANCH_TEMP,char,N,1,0/0,TRUE,previous flag when a transactions is moved to expired transactions,,,Old/Not Used/Needed
Envio,dba,BRANCH,ID_GROUP_NETWORK,varchar,,8,0/0,TRUE,,,,
Envio,dba,BRANCH,ID_LOCATION,varchar,,6,0/0,TRUE,Location ID,,,
Envio,dba,BRANCH,ID_MAIN_BRANCH,char,N,4,0/0,FALSE,"Acounting grouping, there can be many agencies inside the same accounting group",,,
Envio,dba,BRANCH,ID_PAYER_NETWORK,int,,4,10/0,TRUE,If the branch is  payer location whats is the ID of the Network?,,,
Envio,dba,BRANCH,ID_STATE,char,Y,5,0/0,FALSE,Branch location address id state; foreing key to dba.states,,,
Envio,dba,BRANCH,ID_STATUS_BRANCH,char,N,1,0/0,FALSE,"Branch Status: O = Open, C = Closed",,,
Envio,dba,BRANCH,ID_TYPE_BRANCH,char,N,1,0/0,FALSE,"Branch type: R = Agent, P = Payee, A = Both",,,
Envio,dba,BRANCH,INSTALLATION_TYPE,char,,2,0/0,TRUE,How the branch was installed,,,
Envio,dba,BRANCH,IS_BANK,bit,,1,1/0,TRUE,"Is a Bank Branch? 1 = Yes, 0 = No",,,Old/Not Used/Needed
Envio,dba,BRANCH,IS_CENPOS_AVAIBLE,char,N,1,0/0,TRUE,the branch has debit card terminal enabled?,,,
Envio,dba,BRANCH,IS_MONEY_ORDERS,bit,,1,1/0,TRUE,"the brach offers money orders product? 1 = Yes, 0 = No",,,
Envio,dba,BRANCH,IS_VIP,char,N,1,0/0,TRUE,"Is a VIP Agenct, 1 = Yes, 0 = No",,,
Envio,dba,BRANCH,LAST_CHANGE,timestamp,,8,0/0,FALSE,last time the row was changed,,,
Envio,dba,BRANCH,LAST_INACTIVATION_TYPE,smallint,,2,5/0,TRUE,,,,
Envio,dba,BRANCH,LAST_STATUS_COMMENT,varchar,,200,0/0,TRUE,Comment when last status changed,,,
Envio,dba,BRANCH,LATITUD,varchar,,20,0/0,TRUE,Location Latitude,,,
Envio,dba,BRANCH,LOCATION_NOTES,varchar,,300,0/0,TRUE,Location notes,,,
Envio,dba,BRANCH,LONGITUD,varchar,,20,0/0,TRUE,Location Longitude,,,
Envio,dba,BRANCH,MODEM_BRANCH,varchar,,15,0/0,TRUE,,,,Old/Not Used/Needed
Envio,dba,BRANCH,NAME_BRANCH,varchar,,60,0/0,FALSE,Branch name,,,
Envio,dba,BRANCH,PAYER_CAPTION,varchar,,100,0/0,TRUE,Name of the bank when the record belongs to an aggregator payer,,,Old/Not Used/Needed
Envio,dba,BRANCH,PAYER_LOCATION_OWN,bit,,1,1/0,TRUE,,,,
Envio,dba,BRANCH,PAYOR_CODE,varchar,,50,0/0,TRUE,Code of the bank when the record belongs to an aggregator payer,,,Old/Not Used/Needed
Envio,dba,BRANCH,PHONE1_BRANCH,varchar,,15,0/0,TRUE,Branch Phone,,,
Envio,dba,BRANCH,PHONE2_BRANCH,varchar,,15,0/0,TRUE,Branch phone alternative,,,
Envio,dba,BRANCH,PREPARE_PIN,char,N,1,0/0,TRUE,,,,Old/Not Used/Needed
Envio,dba,BRANCH,PRODUCT_TYPE,varchar,,2,0/0,TRUE,,,,
Envio,dba,BRANCH,SYNC_ASSETS,smallint,,2,5/0,TRUE,,,,Old/Not Used/Needed
Envio,dba,BRANCH,SYNC_COMPASS,smallint,,2,5/0,TRUE,,,,Old/Not Used/Needed
Envio,dba,BRANCH,TIMELIMITPRINTPIN,datetime,,8,23/3,TRUE,,,,Old/Not Used/Needed
Envio,dba,BRANCH,USE_ALTERNATIVE,char,N,1,0/0,TRUE,,,,Old/Not Used/Needed
Envio,dba,BRANCH,USER_NAME,varchar,,40,0/0,TRUE,,,,
Envio,dba,BRANCH,USU_CRE_BRANCH,varchar,,30,0/0,TRUE,User that created the branch,,,
Envio,dba,BRANCH,ZIP_BRANCH,numeric,,5,38/38,TRUE,Branch location address zip,,,
Envio,dba,BRANCH,ZIP_BRANCH_V,nvarchar,,40,0/0,TRUE,,,,
Envio,dba,BRANCH,ZIP_BRANCH_V,sysname,,40,0/0,TRUE,,,,
Envio,dba,BRANCH,ZIP4CODE_BRANCH,char,,4,0/0,TRUE,Branch location address zip 4 digits format,,,
Envio,dba,BRANCH,LAST_UPDATED,datetime,,8,23/3,TRUE,,,,
Envio,dba,BRANCH_AGENT,DATE_BEGIN,datetime,,8,23/3,FALSE,date when the relation started,,,
Envio,dba,BRANCH_AGENT,ID_AGENT,char,Y,10,0/0,FALSE,id agent consecutive,,,
Envio,dba,BRANCH_AGENT,ID_BRANCH,char,Y,10,0/0,FALSE,id branch where the agent is assigned,,,
Envio,dba,BRANCH_AGENT,SPECIAL_BRANCH,varchar,,3,0/0,TRUE,is an special branch? YES/NO,,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_BILLPAYMENT,bit,,1,1/0,TRUE,"Is BillPayment active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_CENTRAL,bit,,1,1/0,TRUE,"Is active at ViaCentral active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_DATE_RP,bit,,1,1/0,TRUE,"Is RP active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_DEBIT_CARD,bit,,1,1/0,TRUE,"Is Debit Card active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_MONEYORDER,bit,,1,1/0,TRUE,"Is Money Ordes active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_PC,bit,,1,1/0,TRUE,"Is PC active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_RP2_0,bit,,1,1/0,TRUE,"Is RedPhone 2 active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_TOPUPS,bit,,1,1/0,TRUE,"Is TopUps active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_VIACHECK,bit,,1,1/0,TRUE,"Is ViaCheck active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_VIAKOM,bit,,1,1/0,TRUE,"Is ViaKom active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_VIASAFE,bit,,1,1/0,TRUE,"Is ViaSafe active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,ACTIVE_VIATAB,bit,,1,1/0,TRUE,"Is ViaTab active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,DATE_BILLPAYMENT,datetime,,8,23/3,TRUE,date when BillPayment was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_CENTRAL,datetime,,8,23/3,TRUE,"Is Date created at ViaCentral active? : 1 - Yes, 0 - No",,,
Envio,dba,BRANCH_INSTALLATION,DATE_DEBIT_CARD,datetime,,8,23/3,TRUE,date when Debit Card was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_MONEYORDER,datetime,,8,23/3,TRUE,date when Money Orders was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_PC,datetime,,8,23/3,TRUE,date when PC was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_RP,datetime,,8,23/3,TRUE,date when redphone was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_RP2_0,datetime,,8,23/3,TRUE,date when RedPhone 2 was installe,,,
Envio,dba,BRANCH_INSTALLATION,DATE_TOPUPS,datetime,,8,23/3,TRUE,date when TopUps was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_VIACHECK,datetime,,8,23/3,TRUE,date when ViaCheck was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_VIAKOM,datetime,,8,23/3,TRUE,date when ViaKom was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_VIASAFE,datetime,,8,23/3,TRUE,date when ViaSafe was installed,,,
Envio,dba,BRANCH_INSTALLATION,DATE_VIATAB,datetime,,8,23/3,TRUE,date when ViaTab was installed,,,
Envio,dba,BRANCH_INSTALLATION,FIRST_INSTALLATION_DATE,datetime,,8,23/3,FALSE,Date for the first installacion,,,
Envio,dba,BRANCH_INSTALLATION,ID_BRANCH,varchar,,10,0/0,FALSE,The installed Branch ID,,,
Envio,dba,BRANCH_INSTALLATION,ID_LOCATION,varchar,,6,0/0,FALSE,The installed Location ID,,,
Envio,dba,BRANCH_INSTALLATION,ID_MAIN_BRANCH,varchar,,4,0/0,FALSE,The installed Group Branch ID,,,
Envio,dba,BRANCH_INSTALLATION,NOW_INSTALLATION_DATE,datetime,,8,23/3,FALSE,Date for the last installation,,,
Envio,dba,BRANCH_INSTALLATION,TYPE,varchar,,50,0/0,TRUE,"The installed Branch Type: New, Existing",,,
Envio,dba,BRANCH_OWNER_CHANGE,DATE_INSERT,date,,3,10/0,TRUE,Date created,,,
Envio,dba,BRANCH_OWNER_CHANGE,ID_BRANCH_OLD,varchar,,10,0/0,FALSE,"Id branch of the old agency, foregin key to dba.branch",,,
Envio,dba,BRANCH_OWNER_CHANGE,ID_BRANCH_SEC,varchar,,10,0/0,FALSE,"Id branch of the new agency, foregin key to dba.branch",,,
Envio,dba,BRANCH_OWNER_CHANGE,USER_INSERT,varchar,,50,0/0,TRUE,user that made the change on the system,,,
Envio,dba,BRANCH_OWNER_INFORMATION,CELLULAR_NUMBER,varchar,,15,0/0,TRUE,Owner's cellular number,,,
Envio,dba,BRANCH_OWNER_INFORMATION,COMPANY_TYPE,varchar,,20,0/0,TRUE,"the company type: INC - Incorporated, CORP - Corporation",,,
Envio,dba,BRANCH_OWNER_INFORMATION,CONTRACT_VER,datetime,,8,23/3,TRUE,Owner's contact version signed,,,
Envio,dba,BRANCH_OWNER_INFORMATION,COSIGNER_NAME,varchar,,150,0/0,TRUE,Owner's principal cosigner name,,,
Envio,dba,BRANCH_OWNER_INFORMATION,EIN,varchar,,30,0/0,TRUE,Owner's EIN number,,,
Envio,dba,BRANCH_OWNER_INFORMATION,FILE_UCC,varchar,,1,0/0,TRUE,,,,
Envio,dba,BRANCH_OWNER_INFORMATION,ID_BRANCH,char,Y,10,0/0,FALSE,"Branch ID for the owners information, foreign key to dba.branch",,,
Envio,dba,BRANCH_OWNER_INFORMATION,ID_CITY,varchar,,5,0/0,TRUE,Owner's address city id,,,
