Database,Schema,Table,number_of_rows_dev_environment,Filas (prod 20231215),extraction_load_type,tabla_update,Actualizacion incremental,Actualizacion completa,Important Columns,Campo de actualización,LLave primaria,Presenta cambios,Frecuencia de actualización,cdc,step function,Column1,Observación,USE?,grupo a migrar a producción,Esta en Cubo?,Text to put un filter,,,,,,
Envio,dba,HISTORY_MARKET_PRICES_BRANCH,,,full,,No,,,,,,,,,,,,,Si,"'HISTORY_MARKET_PRICES_BRANCH',",,,,,,
Envio,dba,HOURS,,,full,,No,,,,,,,,,,,,,Si,"'HOURS',",,,,,,
Envio,Sales,Location_Territory,,,full,,No,,,,,,,,,,,,,Si,"'Location_Territory',",,,,,,
Envio,crm,LOCATIONS,,,full,,No,,,,,,,,,,,,,Si,"'LOCATIONS',",,,,,,
Envio,dba,MONEY_TRANSMITTERS,,,full,,No,,,,,,,,,,,,,Si,"'MONEY_TRANSMITTERS',",,,,,,
Envio,dba,MOTIVO_HOLD,,,full,,No,,,,,,,,,,,,,Si,"'MOTIVO_HOLD',",,,,,,
Envio,dba,MOTIVO_HOLD_HISTORY,,,full,,No,,,,,,,,,,,,,Si,"'MOTIVO_HOLD_HISTORY',",,,,,,
Envio,dba,Numbers,,,full,,No,,,,,,,,,,,,,Si,"'Numbers',",,,,,,
Envio,dba,PAYER_NETWORK,,,full,,No,,,,,,,,,,,,,Si,"'PAYER_NETWORK',",,,,,,
ViaChecks,dbo,special_accounts,,,full,,No,,,,,,,,,,,,,Si,"'special_accounts',",,,,,,
Envio,dba,RECEIVER_PAYER_IS,,,full,,No,,,,,,,,,,,,,Si,"'RECEIVER_PAYER_IS',",,,,,,
Envio,Sales,Region,,,full,,No,,,,,,,,,,,,,Si,"'Region',",,,,,,
Envio,dba,SALES_REP_COMMISSION_PER_WIRE,,,full,,No,,,,,,,,,,,,,Si,"'SALES_REP_COMMISSION_PER_WIRE',",,,,,,
ViaChecks,dbo,Viacheck_System,,,full,,No,,,,,,,,,,,,,Si,"'Viacheck_System',",,,,,,
Envio,dba,STA_PAYER_VOLUME_BY_TIME_OF_THE_DAY,,,full,,No,,,,,,,,,,,,,Si,"'STA_PAYER_VOLUME_BY_TIME_OF_THE_DAY',",,,,,,
Envio,dba,TIMESERIES,,,full,,No,,,,,,,,,,,,,Si,"'TIMESERIES',",,,,,,
ViaChecks,dbo,X9Transactions,,,incremental_load,,SI,,,Created,,,30min,,30min,,,,,Si,"'X9Transactions',",,,,,,
Envio,dba,TIMESERIES_ISO,,,full,,No,,,,,,,,,,,,,Si,"'TIMESERIES_ISO',",,,,,,
Envio,dba,VIADEAL_CONFIGURATION,,,full,,No,,,,,,,,,,,,,Si,"'VIADEAL_CONFIGURATION',",,,,,,
Envio,dba,ZIPCODE,,,full,,No,,,,,,,,,,,,,Si,"'ZIPCODE',",,,,,,
Envio,dba,RECEIVER,"79,342,498","169,317,685",incremental_load,,Si,,DATE_RECEIVER,LAST_UPDATED,,x,15min,ok,15min,(Reports) - Realtime for Fraud ML,[DATE_RECEIVER] para nuevos registros,,2,Si,"'RECEIVER',",,,,,,
ViaChecks,dbo,CHECKREADER_SCORE,"450,329,885","476,350,175",incremental_load,,Si,,system_date,system_date,,,15min,,1hr,,,,1,,"'CHECKREADER_SCORE',",,,,,,
Envio,Loyalty,accounting_submittransaction,"7,536,287","9,207,825",incremental_load,,SI,,CREATION_DATE,MODIFICATION_DATE,,x,30min,,30min,,,,3,,"'accounting_submittransaction',",,,,,,
Envio,dba,AGENT,299,,full,,,Si,,,,,30min,,12hs,,,,4,Si,"'AGENT',",,,,,,
Envio,dba,AUDIT_RATE_GROUP_AGENT,"25,423,924","24,292,064",incremental_load,,Si,,DATE_PROCESS,DATE_PROCESS,,,1hr,,1hr,,,,1,,"'AUDIT_RATE_GROUP_AGENT',",,,,,,
Envio,dba,TRANSACCION_DIARIA_BANCO_PAYEE,"13,277,228","13,998,180",incremental_load,,Si,,DATE_TRANS_DIARIA,DATE_TRANS_DIARIA,,,15min,,15min,,,,1,,"'TRANSACCION_DIARIA_BANCO_PAYEE',",,,,,,
Envio,dba,BANCO,198,,full,,,Si,,,,,1day,,1day,,,,4,,"'BANCO',",,,,,,
Envio,dba,TRANSACCION_DIARIA_PAYEE,"24,260,356","25,493,686",incremental_load,,Si,,DATE_TRANS_DIARIA,DATE_TRANS_DIARIA,,,15min,,15min,,,,2,,"'TRANSACCION_DIARIA_PAYEE',",,,,,,
ViaChecks,dbo,batchTable,"13,154,852","13,601,785",incremental_load,chequear,Si,,created,CREATED,,,15min,,15min,,NO UPDATES. [CREATED] para nuevos registros,,2,Si,"'batchTable',",,,,,,
EnvioDW,bankcost,BANK_COST,,,full,,No,Si,,,,,1440min,,1day,,,,3,,"'BANK_COST',",,,,,,
Envio,Loyalty,accounting_customerledger,"8,842,110","10,831,250",incremental_load,,SI,,CREATION_DATE,CREATION_DATE,,,30min,,30min,,,,2,,"'accounting_customerledger',",,,,,,
Envio,dba,FOREX_FEED_MARKET,"4,010,720",,incremental_load,,Si,,FEED_DATE,FEED_DATE,,,15min,,15min,,,,2,Si,"'FOREX_FEED_MARKET',",,,,,,
Envio,dba,BRANCH,"332,154",,incremental_load,,Si,,DATE_INSERTED,LAST_UPDATED,,x,15min,,15min,,[DATE_INSERTED] para nuevos registros,,4,Si,"'BRANCH',",,,,,,
Envio,dba,VCW_STATES_PRICING,"1,626,303",,incremental_load,,Si,,UPDATE_DATE,UPDATE_DATE,,,6hr,,6hr,,,,2,,"'VCW_STATES_PRICING',",,,,,,
Envio,dba,BRANCH_INSTALLATION,"25,128",,full,,,Si,,,,,1440min,,1day,,,,4,,"'BRANCH_INSTALLATION',",,,,,,
Envio,dba,BRANCH_OWNER_CHANGE,"1,975",,full,,,Si,,,,,30min,,30min,,,,4,,"'BRANCH_OWNER_CHANGE',",,,,,,
Envio,dba,BRANCH_OWNER_INFORMATION,"25,587",,full,,,Si,,,,,30min,,1hr,,,,3,,"'BRANCH_OWNER_INFORMATION',",,,,,,
Envio,dba,BRANCH_PREFIX,3,,full,,,Si,,,,,1440min,,1day,,,,4,,"'BRANCH_PREFIX',",,,,,,
Envio,Loyalty,accounting_journal,"8,842,114","10,831,254",incremental_load,,SI,,CREATION_DATE,CREATION_DATE,,,30min,,30min,,,,1,,"'accounting_journal',",,,,,,
Envio,dba,CANCELATION_REQUESTS,9,,full,,No,Si,,,,,1440min,,1day,,,,4,,"'CANCELATION_REQUESTS',",,,,,,
ViaChecks,Viacheck,ViacheckFeatureMetrics,"571,894","843,951",incremental_load,,Si,,MetricDate ,MetricDate ,,,1440min,,1day,,,,2,,"'ViacheckFeatureMetrics',",,,,,,
Envio,dba,CITY,"115,928",,full,,,Si,,,,,1440min,,1day,,,,2,Si,"'CITY',",,,,,,
Envio,dba,COMISION_AGENT_MODO_PAGO_GRUPO,"4,518,300",,incremental_load,,Si,,LAST_UPDATED,LAST_UPDATED,,x,1hr,,1hr,,[INSERTED_DATE] (Nueva columna) para nuevos registros,,1,,"'COMISION_AGENT_MODO_PAGO_GRUPO',",,,,,,
Envio,crm,BANK_COST,"44,749",,full,,,Si,,,,,1440min,,30min,,,,2,Si,"'BANK_COST',",,,,,,
Envio,dba,VCW_EMPLOYEES_BY_BRANCH,"37,597",,full,,,Si,,,,,1day,,1day,,,,2,,"'VCW_EMPLOYEES_BY_BRANCH',",,,,,,
Envio,dba,VCW_SALES_PRODUCTS,"2,220,788",,incremental_load,,Si,,DATETRANSACTION,LAST_UPDATED,,,15min,,15min,,[DATETRANSACTION] para nuevos registros,,1,Si,"'VCW_SALES_PRODUCTS',",,,,,,
ViaChecks,Viacheck,ChecksOnTemporaryAccounts,"73,473","82,257",full,,,Si,,,,,6hr,,6hr,,,,4,,"'ChecksOnTemporaryAccounts',",,,,,,
Envio,Loyalty,customers_customer,"751,899",,incremental_load,,Si,,enrollment_date,enrollment_date,,,30min,,30min,,,,1,,"'customers_customer',",,,,,,
ViaChecks,dbo,checkTable,"43,797,846","45,532,532",incremental_load,,Si,,CheckDate,LAST_UPDATED,,x,15min,,1hr,,[CheckDate] para nuevos registros,,3,Si,"'checkTable',",,,,,,
ViaChecks,Viacheck,CheckVerification,"826,566","907,204",incremental_load,,Si,,VERIFICATIONDATE,VERIFICATIONDATE,,,1440min,,1day,,,,4,,"'CheckVerification',",,,,,,
Envio,dba,RECIPIENTE,383704,,incremental_load,,Si,No,N/A,N/A,,,15min,,15min,Relation one to one to Receiver,OMITIR... NO ESTÁ EN USO,Old/Not Used/Needed,1,,"'RECIPIENTE',",,,,,,
Envio,dba,LOCATION,"23,246",,full,,,Si,,,,,15min,,1hr,,,,2,Si,"'LOCATION',",,,,,,
Envio,dba,COMISION,"1,631",,full,,,Si,,,,,30min,,6hr,,,,4,,"'COMISION',",,,,,,
ViaChecks,dbo,returnChecks,"298,162","314,776",incremental_load,,Si,,insertedDate ,insertedDate ,,,15min,,15min,,,,1,Si,"'returnChecks',",,,,,,
Envio,dba,COMISION_DELIVERY,"1,265",,full,,,Si,,,,,30min,,6hr,,,,3,,"'COMISION_DELIVERY',",,,,,,
Envio,dba,BRANCH_AGENT,"12,343",,full,,,Si,,,,,15min,,1hr,,,,2,Si,"'BRANCH_AGENT',",,,,,,
Envio,dba,CURRENCY_PURCHASE,"64,017",,full,,,Si,,,,,15min,,6hr,,,,1,Si,"'CURRENCY_PURCHASE',",,,,,,
EnvioDW,bankcost,CONSOLIDATED_BANK_COST_MAIN_BRANCH,,,full,,No,Si,,,,,1440min,,1day,,,,4,,"'CONSOLIDATED_BANK_COST_MAIN_BRANCH',",,,,,,
Envio,dba,VCW_EMPLOYEES,"37,849",,full,,,Si,,,,,1day,,1day,,,,1,,"'VCW_EMPLOYEES',",,,,,,
Envio,dba,GROUP_BRANCH,"25,024",,full,,,Si,,,,,15min,,1hr,,,,1,Si,"'GROUP_BRANCH',",,,,,,
Envio,dba,COUNTRY,215,,full,,,Si,,,,,1440min,,1day,,,,3,Si,"'COUNTRY',",,,,,,
Envio,dba,CHAIN,"18,105",,full,,,Si,,,,,15min,,1hr,,,,1,,"'CHAIN',",,,,,,
Envio,dba,CURRENCY,72,,full,,,Si,,,,,1day,,1day,,,,4,Si,"'CURRENCY',",,,,,,
Envio,dba,VCW_PRICE_STANDARD,"5,049",,full,,,Si,,,,,30min,,1day,,,,1,,"'VCW_PRICE_STANDARD',",,,,,,
ViaChecks,dbo,customer_location,"8,210",,full,,,Si,,,,,30min,,30min,,,,4,Si,"'customer_location',",,,,,,
Envio,dba,BRANCH_RELATIONS,"3,141",,full,,,Si,,,,,30min,,1day,,,,1,,"'BRANCH_RELATIONS',",,,,,,
Envio,dba,VCW_PRODUCTS,"5,049",,full,,,Si,,,,,30min,,1day,,,,2,,"'VCW_PRODUCTS',",,,,,,
Envio,dba,DEPOSIT_CODES,"21,125",,full,,,Si,,,,,1hr,,1hr,,,,3,,"'DEPOSIT_CODES',",,,,,,
EnvioDW,bankcost,DEPOSIT_CONSOLIDATED,,,full,,No,Si,,,,,1440min,,1day,,,,3,,"'DEPOSIT_CONSOLIDATED',",,,,,,
Envio,dba,FLAG_BRANCH,3,,full,,No,Si,,,,,1440min,,1day,,,,3,,"'FLAG_BRANCH',",,,,,,
Envio,dba,FLAG_RECEIVER,7,,full,,,Si,,,,,1440min,,1day,,,,4,,"'FLAG_RECEIVER',",,,,,,
Envio,dba,STATE,"2,991",,full,,,Si,,,,,1day,,1day,,,,2,Si,"'STATE',",,,,,,
Envio,Fraud,Fraud_Vectors_V2_1,"17,432,906",,incremental_load,,Si,,DATE_CREATED ,DATE_CREATED ,,,1440min,,1day,,,,4,,"'Fraud_Vectors_V2_1',",,,,,,
Envio,dba,TIPO_TRANSMISION_AGENCIA,"1,881",,full,,,Si,,,,,1day,,1day,,,,1,Si,"'TIPO_TRANSMISION_AGENCIA',",,,,,,
Envio,dba,STANDAR,"1,376",,full,,,Si,,,,,6hr,,1day,,,,1,,"'STANDAR',",,,,,,
ViaChecks,Viacheck,CheckOnHoldReasons,"1,839",,full,,,Si,,,,,15min,,1day,,,,2,,"'CheckOnHoldReasons',",,,,,,
Envio,dba,CASHIER,"1,375",,full,,,Si,,,,,30min,,6hr,,,,2,Si,"'CASHIER',",,,,,,
ViaChecks,Viacheck,HistoricalOnHoldRelease,"11,780,700","12,540,005",incremental_load,,Si,,processeddate,processeddate,,,30min,,30min,,,,4,,"'HistoricalOnHoldRelease',",,,,,,
Envio,dba,HISTORY_INVENTORY_MARKET,"12,902,315","13,530,908",incremental_load,,Si,,DATE,DATE,,,15min,,15min,,,,2,,"'HISTORY_INVENTORY_MARKET',",,,,,,
Envio,von_dba,CASHIER,668,,full,,,Si,,,,,30min,,1day,,validar como actualizar en el stage de producto,,2,,"'CASHIER',",,,,,,
Envio,Fraud,ML_Fraud_Score,"42,178,986","46,445,750",incremental_load,,Si,,DATE_CREATED,DATE_CREATED,,,15min,,15min,(Reports) - Realtime for Fraud ML,,,4,,"'ML_Fraud_Score',",,,,,,
Envio,dba,SF_SAFES_BRANCHES,271,,full,,,Si,,,,,30min,,1day,,,,2,Si,"'SF_SAFES_BRANCHES',",,,,,,
ViaChecks,Viacheck,RulesGroup,85,,full,,,Si,,,,,1day,,1day,,,,2,,"'RulesGroup',",,,,,,
Envio,dba,MODIFICATION_REQUESTS,8,,full,,No,Si,,,,,1440min,,1day,,,,3,,"'MODIFICATION_REQUESTS',",,,,,,
Envio,dba,MODO_PAGO,14,,full,,,Si,,,,,1440min,,1day,,,,3,Si,"'MODO_PAGO',",,,,,,
Envio,Sales,Zone,51,,full,,,Si,,,,,1440min,,1day,,,,2,,"'Zone',",,,,,,
ViaChecks,Viacheck,OnHoldCategoriesAndGroups,78,,full,,,Si,,,,,30min,,1day,,,,3,,"'OnHoldCategoriesAndGroups',",,,,,,
Envio,dba,PAYMENT,8,,full,,No,Si,,,,,1440min,,1day,,,,4,Si,"'PAYMENT',",,,,,,
Envio,dba,RATE_GROUP_AGENT,"497,843",,full,,Si,,DATE_UPGRADE,DATE_UPGRADE,,,1hr,,1hr,,,,3,,"'RATE_GROUP_AGENT',",,,,,,
Envio,dba,RATE_GROUP_STATE_DELIVERY,"3,349",,full,,,Si,,,,,6hr,,1day,,,,3,,"'RATE_GROUP_STATE_DELIVERY',",,,,,,
Envio,dba,RATE_TYPE,"3,314",,full,,,Si,,,,,1day,,1day,,,,4,,"'RATE_TYPE',",,,,,,
Envio,dba,RECEIPT_DISCLAIMERS,242,,full,,No,Si,,,,,1440min,,1day,,,,3,,"'RECEIPT_DISCLAIMERS',",,,,,,
Envio,dba,TYPE_ID_SENDER,41,,full,,No,Si,,,,,1440min,,1day,,,,2,,"'TYPE_ID_SENDER',",,,,,,
Envio,dba,RECEIVER_FRAUD,"2,324",,full,,,Si,,,,,6hr,,6hr,,,,3,,"'RECEIVER_FRAUD',",,,,,,
Envio,crm,Receiver_GP_Components,"1,548,112",,incremental_load,,Si,,DATE_RECEIVER,DATE_RECEIVER,,,1440min,,1day,,,,3,Si,"'Receiver_GP_Components',",,,,,,
Envio,dba,VCW_CARRIERS,942,,full,,,Si,,,,,30min,,1day,,,,1,Si,"'VCW_CARRIERS',",,,,,,
Envio,dba,VCW_PRICE_EXCLUSION,275,,full,,,Si,,,,,30min,,1day,,,,1,,"'VCW_PRICE_EXCLUSION',",,,,,,
ViaChecks,dbo,Reprocessed_Checks,628,,full,,,Si,,,,,30min,,1day,,,,3,,"'Reprocessed_Checks',",,,,,,
Envio,dba,CUENTA_BANCO,207,,full,,No,Si,,,,,1440min,,1day,,,,1,,"'CUENTA_BANCO',",,,,,,
ViaChecks,dbo,returnCodes,45,,full,,,Si,,,,,1day,,1day,,,,4,Si,"'returnCodes',",,,,,,
Envio,dba,GROUP_TYPE,23,,full,,No,Si,,,,,1440min,,1day,,,,2,,"'GROUP_TYPE',",,,,,,
Envio,dba,SENDER,"21,600,681","22,023,730",incremental_load,,Si,,INSERTED_DATE,LAST_UPDATED,,x,15min,,15min,,[INSERTED_DATE] para nuevos registros,,3,Si,"'SENDER',",,,,,,
Envio,dba,SF_ARMORED_CAR,12,,full,,No,Si,,,,,1440min,,1day,,,,3,,"'SF_ARMORED_CAR',",,,,,,
Envio,dba,SF_PROVIDER,3,,full,,No,Si,,,,,1440min,,1day,,,,4,,"'SF_PROVIDER',",,,,,,
Envio,dba,SF_SAFE_TRANSACTIONS,,,incremental_load,,Si,,TRANSACTION_DATE,TRANSACTION_DATE,,,15min,,15min,,,,2,Si,"'SF_SAFE_TRANSACTIONS',",,,,,,
ViaChecks,Viacheck,OnHoldCategories,21,,full,,,Si,,,,,1day,,1day,,,,2,,"'OnHoldCategories',",,,,,,
Envio,dba,CONCEPTO_CONTABLE,87,,full,,,Si,,,,,1day,,1day,,,,1,,"'CONCEPTO_CONTABLE',",,,,,,
ViaChecks,Viacheck,CheckVerify_ServicesCodes,52,,full,,,Si,,,,,30min,,1day,,,,1,,"'CheckVerify_ServicesCodes',",,,,,,
ViaChecks,dbo,CHECKPROPERTY,15,,full,,,Si,,,,,1440min,,1day,,,,2,,"'CHECKPROPERTY',",,,,,,
Envio,sales,TERRITORY,35,,full,,No,Si,,,,,1440min,,1day,,,,3,Si,"'TERRITORY',",,,,,,
Envio,dba,SF_VAULT,47,,full,,No,Si,,,,,1440min,,1day,,,,1,,"'SF_VAULT',",,,,,,
Envio,dba,TRADER,38,,full,,,Si,,,,,1440min,,1day,,,,1,Si,"'TRADER',",,,,,,
Envio,dba,VCW_CATEGORY,18,,full,,,Si,,,,,1440min,,1day,,,,1,,"'VCW_CATEGORY',",,,,,,
Envio,dba,TRADER_GROUP,48,,full,,,Si,,,,,1day,,1day,,,,3,Si,"'TRADER_GROUP',",,,,,,
Envio,loyalty,CORE_PRODUCT,13,,full,,No,Si,,,,,1440min,,1day,,,,1,,"'CORE_PRODUCT',",,,,,,
Envio,dba,GROUP_BRANCH_PHASE,8,,full,,,Si,,,,,1440min,,1day,,,,2,Si,"'GROUP_BRANCH_PHASE',",,,,,,
EnvioDW,bankcost,TRX,,,full,,No,Si,,,,,1440min,,1day,,,,4,,"'TRX',",,,,,,
ViaChecks,dbo,TVCP_PARAM_AGENCIAS,"8,281",,full,,,Si,,,,,60min,,6hr,,,,3,,"'TVCP_PARAM_AGENCIAS',",,,,,,
Envio,dba,TYPE_BRANCH,3,,full,,No,Si,,,,,1440min,,1day,,,Old/Not Used/Needed,4,,"'TYPE_BRANCH',",,,,,,
Envio,dba,COMPANY,6,,full,,No,Si,,,,,1440min,,1day,,,,2,Si,"'COMPANY',",,,,,,
Envio,dba,VAPP_APPLICATION,"18,733",,full,,,Si,,,,,1440min,,1day,,,,4,,"'VAPP_APPLICATION',",,,,,,
Envio,dba,VAPP_TYPEAPPLICATIONS,3,,full,,No,Si,,,,,1440min,,1day,,,,4,,"'VAPP_TYPEAPPLICATIONS',",,,,,,
Envio,dba,VCW_BILLER,"41,955",,full,,,Si,,,,,6hr,,6hr,,,,3,,"'VCW_BILLER',",,,,,,
Envio,dba,VCW_BILLPAYMENT_SALES,"6,693,175","6,927,063",incremental_load,,Si,,TRANSACTION_DATE,LAST_UPDATED,,,15min,,15min,,[TRANSACTION_DATE] para nuevos registros,,4,Si,"'VCW_BILLPAYMENT_SALES',",,,,,,
Envio,dba,VCW_BILLPAYMENT_VIAONE_SALES,"2,332,533",,incremental_load,,Si,,CREATION_DATE,CREATION_DATE,,,15min,,15min,,NO UPDATES. [CREATION_DATE] para nuevos registros,,4,Si,"'VCW_BILLPAYMENT_VIAONE_SALES',",,,,,,
ViaChecks,dbo,checkStatusTable,10,,full,,,Si,,,,,1440min,,1day,,,,1,,"'checkStatusTable',",,,,,,
Envio,dba,VCW_CARRIERS_BY_PROVIDERS,951,,full,,,Si,,,,,30min,,6hr,,,,4,Si,"'VCW_CARRIERS_BY_PROVIDERS',",,,,,,
Envio,dba,FUNDS_ORIGIN,8,,full,,No,Si,,,,,1440min,,1day,,,,1,,"'FUNDS_ORIGIN',",,,,,,
Envio,dba,VCW_COST_GATEWAY,"1,706",,full,,,Si,,,,,30min,,1day,,,,3,,"'VCW_COST_GATEWAY',",,,,,,
Envio,dba,VCW_PRODUCT_TYPE,6,,full,,,Si,,,,,30min,,1day,48 corridas diarias,,,2,Si,"'VCW_PRODUCT_TYPE',",,,,,,
Envio,Catalog,VCW_DELIVERYTIME_CONTRACT_PROVIDER,18,,full,,,Si,,,,,30min,,1day,,,,4,,"'VCW_DELIVERYTIME_CONTRACT_PROVIDER',",,,,,,
Envio,dba,VCW_DELIVERYTIME_PROVIDER,20,,full,,,Si,,,,,30min,,6hr,,,,3,,"'VCW_DELIVERYTIME_PROVIDER',",,,,,,
Envio,dba,TIPO_TRANSMISION,6,,full,,,Si,,,,,1440min,,1day,,,,1,,"'TIPO_TRANSMISION',",,,,,,
Envio,dba,VCW_DELIVERY_TIME,5,,full,,,Si,,,,,30min,,1day,,,,2,,"'VCW_DELIVERY_TIME',",,,,,,
Envio,dba,VCW_EXCLUSION_PRICING,"76,234",,full,,,Si,,,,,30min,,1day,implica correr 48 veces al día los glue jobs,,,3,,"'VCW_EXCLUSION_PRICING',",,,,,,
Envio,dba,VCW_MONEYORDERS_SALES,"2,395,479",,incremental_load,,Si,,TRANSACTION_DATE,LAST_UPDATED,,,15min,,15min,,[TRANSACTION_DATE] para nuevos registros,,3,Si,"'VCW_MONEYORDERS_SALES',",,,,,,
Envio,dba,AGENT_POSITION,5,,full,,No,Si,,,,,1440min,,1day,,,,1,,"'AGENT_POSITION',",,,,,,
Envio,dba,RECEIVER_SOURCE,5,,full,,,Si,,,,,1day,,1day,,,,1,Si,"'RECEIVER_SOURCE',",,,,,,
Envio,dba,MODIFICATION_REASONS,4,,full,,No,Si,,,,,1440min,,1day,,,,2,,"'MODIFICATION_REASONS',",,,,,,
Envio,dba,MOD_PAY_CURRENCY,2,,full,,No,Si,,,,,1440min,,1day,,,,2,,"'MOD_PAY_CURRENCY',",,,,,,
Envio,dba,VCW_PROVIDERS,8,,full,,,Si,,,,,30min,,1day,,,,3,Si,"'VCW_PROVIDERS',",,,,,,
EnvioDW,bankcost,COST_TYPE_DEPOSIT_BANK,,,full,,No,Si,,,,,1440min,,1day,,,,1,,"'COST_TYPE_DEPOSIT_BANK',",,,,,,
Envio,dba,VCW_SALES_STATUS,10,,full,,,Si,,,,,30min,,1day,,,,4,,"'VCW_SALES_STATUS',",,,,,,
Envio,dba,VCW_STANDARD_PRICING,"38,011",,full,,,Si,,,,,30min,,1day,,,,4,,"'VCW_STANDARD_PRICING',",,,,,,
EnvioDW,bankcost,BANCO,,,full,,No,Si,,,,,1440min,,1day,,,,2,,"'BANCO',",,,,,,
Envio,crm,BANK_COST,,,full,,No,Si,DATE_PROCESS,DATE_PROCESS,,,1440min,,1day,,,,2,Si,"'BANK_COST',",,,,,,
ViaChecks,Viacheck,ViacheckFeatureModules,6,,full,,,Si,,,,,1day,,1day,,,,3,,"'ViacheckFeatureModules',",,,,,,
EnvioDW,bankcost,VIASAFE_FEES,,,full,,No,Si,,,,,1440min,,1day,,,,1,,"'VIASAFE_FEES',",,,,,,
ViaChecks,Viacheck,VoidReason,4,,full,,,Si,,,,,1day,,1day,,,,3,,"'VoidReason',",,,,,,
ViaChecks,Viacheck,VoidSubTypeReason,6,,full,,,Si,,,,,1day,,1day,,,,4,,"'VoidSubTypeReason',",,,,,,
EnvioDW,bankcost,DEPOSIT,,,full,,No,Si,,,,,1440min,,1day,,,,2,,"'DEPOSIT',",,,,,,
